veracity,claims
0,“they were not able to find a single healthy child in america that died from COVID-19 […] but one in every 2700 people are getting myocarditis”; “athletes are collapsing on playing fields as for myocarditis and it’s from the vaccines”; Moderna patent filed in 2019 is linked to t…
0,Map shows ships waiting to dock along Chinese coast.
0,“We are still not sure exactly what” the “great replacement theory” is.
0,Students In Wilkes identify themselves as cats or furries.
0,Georgia Secretary of State Brad Raffensperger used “$50 million of Zuckerberg money” in 2020 to “tip the scales.”
0,purportedly shows a tweet from Tesla CEO Elon Musk announcing his intention to purchase Dominion Voting Systems.
0,Plan B contraceptive pills have been banned through new abortion legislation in Tennessee and Missouri.
0,$35 billion in renewable energy projects have been rolled out in Australia in the past three years.
0,"Supreme Court Justice Clarence Thomas and his wife Ginni posted a photo of themselves enjoying a $5,135 bottle of wine “as American women despair about abortion rights being taken away from them.”"
0,"Agenda 21 means people can’t have private property, mostly, or land of their own."
0,“Democrats want open borders so they can bring in and amnesty tens of millions of illegal aliens — that’s their electoral strategy.”
0,The Biggest Drop In The DOW Stock Market Ever Took Place During The Biden Administration.
0,Biden set to sell America’s sovereignty to globalists at WHO on May 22.
0," Liberal, Labor and Greens plan to make Covid-19 vaccination mandatory."
0,Says Gov. Tony Evers is “a big proponent of this defund the police movement.”
0, Event 201 is evidence that officials already knew about COVID-19
0,claims the Rothschild family owns 
0,"“79% of Planned Parenthood clinics are in minority neighborhoods. This is not by accident. That is by its founder, Margaret Sanger’s, eugenicist design.”"
0,"Canadian Govt Publish Data That ‘Suggests’ People Triple-Vaccinated For COVID-19 Get Sicker, Develop Vaccine-Associated Enhanced Disease"
0,Nonprofit Operation Ukraine’s shipments of baby formula to Ukraine is responsible for shortage in the U.S.
0,"Abortion increases the risk of breast cancer, mental illness, and preterm labor."
0,Bill Gates “has been investing heavily in synthetic soy breast milk” and is behind the baby formula shortage.
0, There is a 
0,"“David Perdue voted with liberals” for $10 trillion “in new debt, his out-of-control federal spending is driving inflation through the roof.”"
0,Three government officials enjoy priority landing and takeoff in the country’s airports.
0,Georgia Gov. Brian Kemp “allowed 7.5 million ballots to be sent to every registered voter.”
1,"In 2020, when Raphael Warnock ran a campaign ad featuring himself with a beagle, “that wasn’t his dog.”"
0, Monkeypox is biological warfare by governments.
0,Video shows Palestinians staging shooting of a child by Israeli soldiers
0,“American journalist” Jack Posobiec was “arrested at World Economic Forum.”
0,Amendments to the International Health Regulations will give the World Health Organisation power to unilaterally impose lockdowns within member countries.
1,"In a recent year, the Milwaukee Police Department “collected more guns per capita off the streets than in New York.”"
0,Dominion lost its lawsuits against Rudy Giuliani and Sidney Powell.
0,"The Uvalde, Texas, school shooter was a “transsexual leftist illegal alien named Salvatore Ramos.”"
0,The amount of carbon dioxide in the air increased just .004 percent in 50 years
0,“Another Conspiracy Proven True!” referring to 2018 remarks by Pfizer CEO and claims about microchips in COVID-19 vaccines.
0, Monkeypox is linked to COVID-19 vaccines; a 2021 tabletop exercise portraying a monkeypox pandemic is evidence that global leaders planned the outbreak; the monkeypox vaccine was “ready” before the outbreak
1,"“90% of Americans, regardless of political party, want universal background checks.”"
1,The US has had 288 school shootings while other countries had 2 or less.
0,“We know from past experiences that the most effective tool for keeping kids safe is armed law enforcement on the campus.”
0,The vast majority of deaths during the Spanish flu pandemic in 1918-19 were due to bacterial infections caused by people wearing masks.
0,Says Gov. Greg Abbott offered the uncle of a Uvalde shooting victim money to say “we don’t need stronger gun laws.”
0,claims diesel is projected to reach $9 a gallon by August.
0,“There hasn’t been a single of these mass shootings that have been purchased at a gun show or on the internet.”
0," “[Spike] is harmful to the human body in at least eight different ways [and] can persist in the human body for weeks, or even months, after a person gets vaccinated”"
0,"“50% of the guns sold in Texas, because of the loopholes, do not pass through a background check.”"
0,"CNN is recycling crisis actors in reports about a man dying in Afghanistan in 2021 and at the Uvalde, Texas, school shooting in 2022."
0,Actor Morgan Freeman Said That Whiteness ‘Is A Disease’
0,"The Uvalde, Texas, school shooter was a “transsexual leftist illegal alien named Salvatore Ramos.”"
0,"purportedly shows a tweet from Republican Colorado Rep. Lauren Boebert that reads, “There is a Severe Thunderstorm Watch in NEW YORK CITY. Joe is even destroying the Blue States.”"
1,"“Most of these killers tend to be 18, 19 years old.”"
0,Stacey Abrams “supported the MLB boycott.”
0,claims to show images of an oil well and a lithium mine and alleges that lithium mining is significantly worse for the environment than drilling for oil.
0,"A Mars Rover photo captured by NASA shows a doorway, suggesting extraterrestrial life."
0, Apple cider vinegar and thermogenic supplements are effective for rapid weight loss
0,Agriculture “is still the No. 1 sector of the economy” in Georgia.
0,Finland is moving military equipment to the eastern border with Russia
0,"In the immediate wake of a fire and vandalism at the Madison headquarters of an anti-abortion group, Democrats had not condemned “activists who are engaging in this repugnant illegal activity.”"
0, claims Republican Tennessee Sen. Marsha Blackburn “proposed a plan wherein birth control should only be legal for married couples.”
0,"With $40 billion, Elon Musk could have given everyone in the U.S. $1 million"
0,Pfizer CEO Albert Bourla We Will Reduce The Number Of People By 50%
1, Does Photo Show Kevin Spacey and Ghislaine Maxwell in Buckingham Palace?
0,“Joe Biden’s Justice Department labeled parents ‘domestic terrorists.'”
0,claims 46 states have performed vote recounts that confirmed President Joe Biden lost the 2020 presidential election.
0,Brian Kemp and Secretary of State Brad Raffensperger “perhaps in collusion with the Radical Left Democrats” are attempting to “unseat” U.S. Rep. Marjorie Taylor Greene.
0,U.S. Department Of Defense Did Award A Contract For ‘COVID-19 Research’ In Ukraine 3 Months Before Virus Was Known To Exist.
0, “California Democrats are trying to legalize killing children up to the age of 28 days.”
0,"“I wish success for our heroic soldiers involved in this operation, which we are carrying out in close cooperation with the central Iraqi government and the regional administration.”"
0," “There is no evidence, other than models, that human CO2 emissions drive climate change and abundant evidence that the Sun, coupled with natural climate cycles, drives most, if not all, of recent climate changes”"
0,Klaus Schwab Says ‘Internet Must Be Reformed’ For The ‘Great Reset’
0, claims to show a mass graveyard for Russian soldiers who were killed during the invasion of Ukraine.
0, Government Proposed Taxing Unrealized Gains For Most Americans.
0,Old Fauci clip about natural immunity applies to COVID-19 vaccines.
0,A supporter of Vice President Leni Robredo tweeted to say that they fired their helpers and drivers who are supporting rival candidate Bongbong Marcos
0,"“The House voted to cap insulin prices to $35/month, just $420 each year! Richard Hudson voted NO.”"
0, “Remdesivir is proven to kill lives”
0,"According to the Census Bureau, “5 million more people voted than were registered to vote” in the 2020 election."
0,UN Released Carbon Emissions Regulations Saying That Ships Will Have To Travel 30% Slower.
1,"“As compared to last year, Texas has about 15% more power generation capacity.”"
0," A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”"
0,The economy was “dead in the water when we got here. Virtually no jobs created.”
0, Fox News host 
0,“The Russian army captured the U.S Major General Roger L. Cloutier Jr. … in the besieged Ukrainian Azov camp in Mariupol.”
0,By sucking the Strategic Oil Reserve dry we’ve lowered gas prices by $.014
1," In 2022, Tennessee Republicans supported a piece of legislation that would legalize child marriage."
0,"“[T]he photos and video footage from Bucha are yet another staged event by the Kiev regime for the Western media, as it was in Mariupol with the maternity hospital, as well as in other cities.”"
0,“Senate Republicans’ plan” would “end Social Security” and “end Medicare.”
0," Pfizer Documents Do Reveal Vaccinated Individuals Will Transfer COVID Shot To Unvaccinated Through Inhalation, Skin Contact"
0,"Lisa Murkowski, Susan Collins and Mitt Romney “are pro-pedophile.”"
0,The FBI lost Hunter Biden’s laptop.
0,New Zealand Prime Minister Jacinda Ardern said that the country’s politics are less extreme than others’ because Rupert Murdoch was never allowed to set up a media outlet there.
0," Says Barack Obama tweeted, “Has anyone checked to make sure Donald Trump doesn’t have a Russian birth certificate?”"
0," purportedly shows clips of audience members yelling, “F*** Joe Biden,” at President Joe Biden."
0,"“Volodymyr Zelenskyy is a cousin of George Soros, Pentagon official says.”"
0, Triple Covid-19 vaccinated people will develop AIDS.
0,"If Republicans ever repealed the Affordable Care Act, that would mean “100 million Americans with preexisting conditions can once again be denied health care coverage by their insurance companies.”"
0, Official data has confirmed 800 COVID-19 ‘vaccine deaths’ in Australia.
0,"“With the money Elon Musk spent to buy Twitter shares, he could have given every American family $100,000 and still had enough left over to cancel all student debt.”"
0,Tucker Carlson suggested photos of bodies in Ukraine could have been staged
0,“A secret backroom deal” gave “away hundreds of millions of tax dollars to a Soros-owned company.”
0, Claims to show Russian Foreign Minister Sergey Lavrov seated behind the desk in the Oval Office during former President Donald Trump’s term.
0,Josh Mandel doctored an image in a campaign ad but “forgot to Photoshop the hands that clearly show he put his face on the body of a Black soldier.”
0,Imperial College London’s REACT-LC study found catching Covid-19 in the colder winter months may be a factor in whether some people find their symptoms persisting.
0,"“Over the course of two months, Tony Evers refused to remove (Curtis Schmitt Jr.) from the (state’s veterans) Board despite having the authority to do (so).”"
0," George Soros is wanted in Russia, declared a ‘global terrorist’ in China."
0,“Joe Biden’s open border” means that there are “more Democrat voters pouring into this country.”
0,claims Ukraine is the first country to implement the World Economic Forum’s (WEF) “Great Reset” plan by creating a social credit system and instituting universal basic income (UBI).
0,“John Fetterman’s a self-described democratic socialist.”
0,Carrying Sri Lankan flag will prevent military from shooting at protesters.
1,Only 2% of K-12 students would benefit from Iowa’s school voucher bill.
0,"“Sunscreens cause cancer, not the sun”; sunscreen and sunless tanning products contain cancer-causing ingredients"
0,purportedly shows a woman wearing a Nazi shirt while attending a rally for former President Donald Trump.
0,"“…Seven and a half years have passed since there was any trend in global warming at all” If global warming was caused by human emissions, temperature would rise at a steady rate"
1, No trees have been planted toward the coalition government’s 2018 target of one billion new trees by 2030.
0,"As with people vaccinated against COVID-19, “many people who were NOT vaccinated also experienced zero or mild symptoms.”"
0,Obamacare And Medical Coding Are Part Of A Global System Of Human Trafficking.
0,“The proposed (Virginia) House budget cuts hundreds of millions in funding for public education…”
0, Photos show Sen. Marsha Blackburn flashing a “white power gesture” during a Senate hearing (or vote) on the confirmation of Ketanji Brown Jackson to the Supreme Court.
0,New York City is “wasting taxpayer money on” billboards in Florida.
0,Ukrainian citizens need to be vaccinated to receive government war payment
0,“70% of increased prices in March came from Putin’s price hike in gasoline
0,"allegedly shows a CNN chyron that reads, “Elon Musk could threaten free speech on Twitter by allowing people to speak freely.”"
0,People protesting the Dakota Access pipeline “were intentionally poisoned” by government officials in North Dakota when a pilot “knowingly sprayed poisonous chemicals” over protesters’ camps.
0," A KKK billboard was put up in Johnson County, NC, for Donald Trump’s rally."
0,Claims that “widespread illegal ballot harvesting” elected Georgia’s two Democratic U.S. senators.
0,Ukraine is the money laundering and child sex trafficking “capital of the world”
0,Suggests ivermectin is an effective treatment for COVID-19.
0,“Toothpaste is poisonous”; “fluoride is a neurotoxin” and doesn’t prevent tooth decay.
0,The COVID-19 vaccines contain “HIV lipid wrappers.”
0, COVID-19 IS not A Virus And Is Snake Venom Being Used To poison People and Turn Them Into Satanic Hybrids.
0,Gilbert Gottfried died from the COVID-19 vaccine.
0,No child under the age of two is vaccinated in Japan.
0,The chairman of Virginia’s Republican Party made a “shockingly racist post” about Defense Secretary Lloyd Austin.
0, allegedly shows a statement released by former President Donald Trump that refers to former Vice President Mike Pence as a “dog.”
1,Mehmet Oz “called for a New Zealand-style gun ban” and said “Americans should have less access to guns.”
0,"“The West demonstrates totalitarian intolerance towards alternative points of view. Democracy, liberalism, pluralism are not observed here. On the contrary, censorship and arbitrariness are intensifying.”"
0," “Ron Johnson is trying to let insurance companies deny coverage to people with pre-existing conditions like cancer, depression, pregnancy, diabetes—or even COVID.”"
0, Healthy People DO not Die From COVID-19.
0,“As your Lieutenant Governor…I cut your taxes.”
0,purportedly shows President Joe Biden and newly-confirmed Supreme Court Justice Ketanji Brown Jackson celebrating the ousting of Pakistani Prime Minister Imran Khan.
0,McDonald’s added xylitol to its ice cream which is toxic to dogs.
0,High Vaccination Rate does not Explain Why 92% Of English COVID Deaths Are Among Fully Vaccinated
0,"The Biden Administration is engaging in extreme ‘woke’ politics by encouraging children to take chemical castration drugs and undergo surgeries, and they are lying to children by telling them puberty blockers are “reversible.”"
1,The founder of Kwanzaa is a convicted felon who kidnapped and tortured two women.
0,Christine Blasey Ford and Brett Kavanaugh were actors wearing masks during Kavanaugh’s U.S. Supreme Court confirmation hearing.
0, purports to show a BBC News report alleging that Ukraine was responsible for a rocket attack that killed 50 Ukrainian civilians at a railway station.
0,The Brooklyn subway attack was a false flag.
0,"There were 2,000 excess deaths in New Zealand while the vaccine was being rolled out."
0, George Soros injected “$33 million” into Black Lives Matter.
0, Bill Gates said a cow emits more pollution than a car.
0,Ukraine was responsible for the Kramatorsk train station bombing.
0,An American Medical Association document confirms Pfizer’s COVID-19 vaccine ingredients and effects vary depending on their “batch”.
1,The coalition government increased development aid for the Pacific region by 50 percent.
1,If Wisconsin Gov. Tony Evers “had passed his (gas) tax increases … fuel prices would be at least a dime higher.
0,Purportedly shows a news article claiming that Disney’s CEO admitted “going woke” was a “huge mistake.”
0,“Leftist justice reform” is the reason that the NYC subway shooting suspect wasn’t in jail at the time of the attack.
0,Putin Did End The Rothschild’s Control Over Russia By Nationalizing The Russian Central Bank
0,"Dave McCormick is “liberal, pro-Biden, pro-China.”"
0,No empire in history has existed for more than 250 years.
1,"“While the initial increase in oil prices resulted in a near instantaneous increase in gas prices for consumers, the subsequent decrease in crude oil prices has failed to meaningfully provide relief for Georgia’s families at the pump.”"
0,alleges Japan has the lowest infant mortality rate while the U.S. has the highest and suggests vaccines play a role in the difference.
0, Social Security Payment Will Become A ‘Federal Benefit Payment’
0,"Vladimir Putin “released 35,000 children from tunnels and subway in Ukraine.”"
0,Before Obama we had no ISIS.
0,New Zealand’s Digital Identity Trust Framework Bill allows government control over people’s banking.
1,“Inflation has gone up every month of the Biden presidency and just hit another 40-year high.”
0, Klaus Schwab says property ownership is unsustainable in WEF tweet
0,Says he has “always” believed “in a woman’s right to choose.”
0, Google Maps has opened all military and strategic facilities in Russia they have become available in maximum resolution
0, “turmeric prevents cancer.”
0,There are more people in work than there were before the pandemic.
0,Supreme Court Justices Amy Coney Barrett and Samuel Alito said that the U.S. needs a “domestic supply of infants” to meet the needs of parents seeking to adopt.
0,The World Health Organization receives 70 per cent of its funding from the pharmaceutical industry.
0,Mehmet Oz is “pro-abortion.”
0, Individuals Who Seek An Abortion in Ala. Are ‘Thrown In Prison For Life’
1,"Due to U.S. Senate rules, Democrats need “more than a majority … to codify Roe vs. Wade.”"
0,Australia’s longest-running weather station shows no pattern of warming since temperature records were first collected in 1862.
0,Bath and Body Works products are not recommended during pregnancy because they are suspected of “damaging fertility or the unborn child.”
0,"Vaccines Are Killing People Of Color At Twice The Rate Of White People, HHS Said"
0,"COVID-19 is a synthetic version of “snake venom” that evil forces are spreading through remdesivir, the COVID-19 vaccines and drinking water to “make you a hybrid of Satan.”"
1,a screenshot of a 
0,"“1,464 Ukrainian servicemen laid down their arms and surrendered. They are not subjected to violence or psychological pressure.”"
0,“The White House presented commemorative coins” dedicated to Ukraine President Volodymyr Zelenskyy.
0, Majorie Taylor Greene wore an earpiece during testimony.
0,"“After their massive tax giveaway to the superwealthy and giant corporations in 2017, congressional Republicans now want to raise taxes on middle class families”"
0,A video shows the Russian warship Moskva exploding.
0, Kids Getting Hepatitis Related To JJ Vaccine Adenovirus Vector.
0,The Chinese Communist Party owns and controls some of Australia’s most popular milk brands.
0,“DeSantis erases Disney’s tax exempt law. Will cost Disney $200 Mil in taxes. Per year!”
0, Lyme Disease Was Invented In A Lab In 1975.
1,"In 2021, “11,201 pounds of fentanyl were seized by Customs and Border Protection, which is enough to kill every American nearly seven times over.”"
0,"allegedly shows a headline from The Washington Post that reads, “China is forcing hundreds of millions of new trees to exist every year.”"
0,My Pillow CEO Mike Lindell is back on Twitter after Elon Musk takeover.
0, Scott Morrison did not propose that asylum seeker boards should be turned back during the lead-up to the 2013 election.
0,“Republicans’ (Rick Scott) plan would make Social Security disappear.”
0,Mehmet Oz “was a spokesman for a group who wanted to defund the police.”
1,Joe Biden’s $33bn Ukraine plan worth half Russia’s military budget
0,"That J.D. Vance said, “People who voted for Trump voted for him for racist reasons.”"
0,"“HIV was an invention created by the West”, people “took the HIV medication and got HIV”, you can “reverse HIV naturally”"
0,“Alkaline foods” can heal the body of cancer.
0,"The bipartisan infrastructure law “gives communities the money they need to get forever chemicals, PFAS off, out of the water. … [W]e’re going to get rid of it all.”"
0, It is more difficult and expensive to see a doctor in Australia than ever before.
0," “Disneyland estates have been used for MK-ULTRA mind control, human trafficking, occult rituals, and parading sexual deviants.”"
0, Are child hepatitis cases linked to COVID-19 vaccines?
1, “The Red Cross sells your donated blood to hospitals for $150 and then that hospital charges you thousands for a blood transfusion.”
0,"claims the state of Georgia found “over 1,600 instances of noncitizens voting in 2020.”"
1,"Since taking office, Hochul has passed more than 400 new bills"
0,"On any given night in Australia, more than 100,000 people do not have a roof over their head."
0,"Matt Dolan sponsored Michael Bloomberg’s “red-flag gun confiscation law, letting the people reporting your social media posts send SWAT teams to your house to take your guns.”"
0,Donald Trump invited all the Great MAGA Patriots to BOYCOTT the midterm elections in November
0,"Conservatives gained Twitter followers after the company announced its deal with Elon Musk because “Twitter lifted a broad anti-conservative, anti-Trump shadow ban.”"
0, U.S. pharmaceutical company Pfizer requested to have its public shares delisted from the New York Stock Exchange (NYSE).
0,“Kids are getting hepatitis. It’s being caused be an adenovirus. J&J had an adenovirus vector. Couldn’t possibly be related.”
0,"“Thanks to President of the Russian Federation V.V. Putin’s initiative, 80 civilians, including women and children, held by the Ukrainian nationalists have been rescued from the territory of the Azovstal factory in Mariupol.”"
0,Sen. Mark Kelly voted “for benefits to illegals.”
0,"claims five kids from Wichita, Kansas died from fentanyl-laced marijuana in a single day in April."
0," “Tylenol is the #1 cause of acute liver failure in the US with 27% of people dying & kills at least 100,000 per year from its use.”"
0,"Certain medicines and compounds like folic acid “deplete folate, which is very serious for those with MTHFR”"
0,"Under the Tories, families are £2,620 worse off."
1,"“… Justices Gorsuch, Kavanaugh, and Barrett assured the Senate Judiciary Committee and the American people that Roe v. Wade was ‘established precedent.’”"
0,Elon Musk suspended Bill Gates from Twitter.
0,"There were “400,000 illegal votes” cast in the 2020 presidential election"
0,"“The student debt that is out there, almost 60% of it is graduate school debt.”"
0,"The number of first-home buyers in 2021 was nearly 70,000 higher than when Labor was in government."
1, Overturning Roe v. Wade is unpopular with Americans.
0,“White House physician demands Biden’s immediate resignation following his ‘obvious’ cognitive decline.”
0,Inhaled Microplastics Found in Lung Tissue—Are Face Masks Contributing to the Problem?
0,“There are 63 million abortions a year in this country.”
0," “You know what happens to these individuals? They are either expelled under the Title 42 of the CDC, or they are placed into immigration enforcement proceedings. They make their claims under the law. If those claims don’t prevail, they are promptly removed from the United States…"
0,“Russia is the only country that delivers direct humanitarian aid to people … Sometimes Russian humanitarian caravans are bombed with weapons that NATO supplies to Ukraine.”
1,"“There has never been a leak anything like this” draft of a Supreme Court opinion that would overturn Roe v. Wade. “There’s never been a leak of a vote — much less an actual opinion, much less in a case of this significance.”"
0,"“the CGG CGG coding […] does not appear in nature”, this and the furin cleavage site from the SARS-CoV-2 spike protein gene suggests the virus wasn’t transmitted from animals to humans"
0,"“In Texas, Republicans passed a law allowing rapists to sue their victims for getting an abortion.”"
1,“New York leads the U.S. in population loss.”
0, “We categorically do not accept any war. We have done and are doing everything now so that there isn’t a war.”
1,"When the New York State Senate voted to legalize abortion in 1970, 12 Republican senators voted in favor of it."
0,The SARS-CoV-2 virus was engineered in a laboratory and deliberately released
0,President Joe Biden has “[s]topped abortion.”
0,California introduces a bill that would allow mothers to kill their babies up to 7 days after birth
0,"When there is “a noose on a college dorm of a Black student” or a racial slur “on a dormitory building, the odds are overwhelming that a Black student actually did that.”"
0,"Two days before the elections, the Department of Health will report a surge in COVID-19 cases and attribute it to Leni Robredo’s campaign rallies"
0,“Pfizer tries to hide 2.4K full-time hires handling vax injuries.”
0,claims North Atlantic Treaty Organization (NATO) forces attacked Russian soldiers heading toward the Ukrainian border.
0,A rash of “mysterious” fires at food-processing plants is “obviously suspicious and it could lead to serious food shortages.”
0," mRNA COVID-19 vaccines accumulate in the ovaries, change menstrual cycles, and lead the immune system to mount “an immune response to their own placental protein”"
0,Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine.
0,“Roe v. Wade happened because a woman lied about being raped by black men.”
0,The corporate tax rate under Eisenhower was 90%
0,“Republicans DO NOT want to throw doctors” in jail.
0,claims Republican North Dakota Sen. Kevin Cramer stated that saving a fetus is worth losing the mother’s life.
0,"“Senator Grassley hopped off the Finance Committee, where he could be helpful to Iowa and the nation, in favor of the Judiciary Committee”"
0,"Algae ponds can capture all the carbon dioxide from coal-fired power stations, resulting in zero-emissions energy."
1,"The state crime lab under Attorney General Josh Kaul “is testing significantly less items than former AG Brad Schimel and is still taking longer to test many categories of key items in comparison to Schimel, including DNA.”"
0,claims 438 illegal immigrants were removed from Walt Disney World by the Florida Department of Labor.
0,“GOP Sen. Marsha Blackburn has proposed that birth control should only be legal for MARRIED couples.”
0,"“Tennessee just banned Plan B and made it a crime punishable by a $50,000 fine to order it.”"
0," “After the collapse of the Soviet Union, the United States and its satellites deployed a network of biolaboratories in the space of the former Soviet republics – in Georgia, Ukraine, Azerbaijan, Uzbekistan, Kazakhstan, and Armenia …”"
1,Texas is “50th in the nation in mental health care access.”
0, President Biden is giving the World Health Organization control over U.S. health care and national sovereignty
1,"“When we passed the assault weapons ban, mass shootings went down. When the law expired, mass shootings tripled.”"
0,Monkeypox is a Symptoms Of ‘Vaccine Induced AIDS’
0," ABC News altered the Uvalde, Texas, school shooter’s photo to appear more Caucasian."
0,Photo shows Russians queuing up to purchase their final McDonald’s meal
0,“Vice President Kamala Harris laughs at the plight of Ukraine; at idea of America offering assistance”
0,A post shared on Facebook claims Johns Hopkins University confirmed polymerase chain reaction (PCR) tests can vaccinate patients.
0,Russia Went Back To Using A Gold Standard.
0,Facebook video shows “counting Biden’s votes at 2 a.m.”
0,“Russian president Vladimir Putin meets with South Korean President.”
0,Cloud seeding caused record-breaking floods in Queensland and NSW.
0,Claimed that he had not suggested increasing federal income taxes on “over half of Americans” in his 11-point plan.
0,CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on COVID-19 mortality in the United States
0,Federal Reserve is owned by a small group of banking families.
1,"Gov. Tony Evers has “only gotten one-third of the money meant for COVID relief out the door. He is sitting on $930 million in ARPA funds left unspent. In fact, he still has CARES Act money from two years ago.”"
1, Did former U.S. President Donald Trump call Russian President Vladimir Putin’s stated Ukraine strategy “savvy” and “genius.”
0, “In accordance with Article 51 of Part 7 of the U.N. Charter … I have decided to conduct a special military operation. Its purpose is to protect people who have been subjected to scorn and genocide by the Kyiv regime for eight years.
0,Photo shows Empire State Building lit up to support Ukraine.
0,Ghost of Kyiv has been shot down per APNews he had 15 kills.
0,"“Under Greg Abbott’s leadership, Texas is putting taxpayer dollars into Chinese companies.”"
1, A Taliban spokesperson released a statement calling for “restraint by both parties” and “to resolve the crisis through dialogue and peaceful means.”
0,Video cameras in cell where Epstein’s alleged model-agent pimp Jean-Luc Brunel was found dead reportedly not working at the time.
0,"“According to reports, the U.S. Embassy provided $1 million a day to support the so-called protest camp on Independence Square in Kyiv.”"
0,“Republican leadership has not been clear about whether they support Rep. Ramthun’s illegal and undemocratic resolution” on the 2020 election.
0,purportedly shows the “Ukrainian headquarters” exploding after being bombed by the Russians.
0,CNN identified “Bernie Gores” as the “first American casualty of the Ukraine crisis.”
0,Photo shows African youths disfigured by vaccines
0,“Bill Gates hatches ‘horribly stupid’ plan to block out the sun”
0,"“Ukraine has the nuclear technologies created back in the Soviet times and delivery vehicles for such weapons, including aircraft, as well as the Soviet-designed Tochka-U precision tactical missiles with a range of over 100 kilometers.”"
0,“NATO (under direction from the United States) is violating previous agreements and expanding eastward.”
0,"Rocket Launch Failure Killed 295 Russians On February 24, 2022."
0,“I’m the one that ended [the Nord Stream 2] pipeline” from Russia to Germany.
0,Sen. Ron Johnson has been “rewarding companies that outsource to China.”
0, “The Russian Defense Ministry stated that only officers and contractors are participating in the military operation in Ukraine.”
0,"“Over-vaccination causes faster mutation of the (COVID-19) virus, which causes a super virus we may not have the ability to fight off.”"
0,Gov. Greg Abbott has ordered “Family and Protective Services to begin investigating all trans children in Texas and prosecuting their parents as abusers.”
0,Gun manufacturing is “the only industry in America that can’t be sued.”
0, Taiwan’s COVID-19 Vaccine Deaths Higher Than All Virus Fatalities.
0,January 2022 fentanyl seizures show “illicit drugs are flowing into the country at an alarming rate because of Biden’s open border.”
